Value,en,Disaggregation combinations using this value,Number of indicators
Девочки,Девочки,1,1
Женщины,Female,55,17
женщины,женщины,5,1
Мальчики,Мальчики,1,1
Мужчины,Male,55,17
мужчины,мужчины,5,1
