Value,en,Disaggregation combinations using this value,Number of indicators
Иссык-Кульская область,Issyk-Kul,70,43
Джалал-Абадская область,Jalal-Abad,70,43
Нарынская область,Naryn,70,43
Баткенская область,Batken,69,43
Ошская область,Osh,69,43
Таласская область,Talas,68,43
Чуйская область,Chui,70,43
г. Бишкек,Bishkek (city),67,42
г. Ош,Osh (city),66,42
